Latitude,Longitude,Mean_NDBI,Mean_NDVI,BuiltUp_Pixel_Count,Valid_Pixel_Count,BuiltUp_Fraction,BuiltUp_Percent,BuiltUp_Class,Scene_Date,Cloud_Cover_Percent,Satellite
21.247718,78.94874,0.1048,0.1322,47,100,0.47,47.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.24773,78.949704,0.0954,0.1218,48,100,0.48,48.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.247742,78.950667,0.1207,0.0784,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247753,78.95163,0.1214,0.0763,98,100,0.98,98.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247765,78.952593,0.1067,0.0761,86,100,0.86,86.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247777,78.953556,0.1125,0.0684,97,100,0.97,97.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247788,78.95452,0.1103,0.0745,96,100,0.96,96.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.2478,78.955483,0.068,0.1328,59,100,0.59,59.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247812,78.956446,-0.0808,0.3494,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.247823,78.957409,-0.0176,0.2679,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.247835,78.958372,0.0075,0.2341,0,100,0.0,0.0,Low Built-up,2026-06-19,1.0,Sentinel-2
21.247847,78.959335,0.0669,0.1044,32,100,0.32,32.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.247858,78.960299,0.0842,0.1274,44,100,0.44,44.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.24787,78.961262,0.075,0.131,36,100,0.36,36.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.247882,78.962225,0.0676,0.1077,46,100,0.46,46.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.247893,78.963188,0.0838,0.1135,34,100,0.34,34.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
21.247905,78.964151,0.1058,0.0659,100,100,1.0,100.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247917,78.965115,0.1061,0.0679,94,100,0.94,94.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247928,78.966078,0.1107,0.0663,95,100,0.95,95.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.24794,78.967041,0.1167,0.0742,92,100,0.92,92.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247952,78.968004,0.115,0.0741,93,100,0.93,93.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247963,78.968967,0.1046,0.0871,82,100,0.82,82.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247975,78.96993,0.1036,0.1022,50,100,0.5,50.0,High Built-up,2026-06-19,1.0,Sentinel-2
21.247986,78.970894,0.1017,0.1129,45,100,0.45,45.0,Moderate Built-up,2026-06-19,1.0,Sentinel-2
