osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
779091520,secondary,True,False,22.572182,,,,,"LINESTRING (79.068514 21.126865, 79.068521 21.126662)",,,,,,21.126764,79.068518,Central
27118013,residential,False,False,60.117136,,,,,"LINESTRING (79.060969 21.125497, 79.061048 21.124961)",,,,,,21.125229,79.061009,Central
29103705,residential,False,True,6.790517,,,,,"LINESTRING (79.060969 21.125497, 79.060972 21.125558)",,,,,,21.125527,79.060971,Central
27082729,secondary,True,False,221.027782,South Ambazari Road,,2,,"LINESTRING (79.060969 21.125497, 79.059953 21.125197, 79.058948 21.124867)",,,,,,21.125189,79.059956,Central
311295634,tertiary,False,True,7.609352,,,,,"LINESTRING (79.058948 21.124867, 79.058923 21.124931)",,,,,,21.124899,79.058936,Central
27082729,secondary,True,False,225.236746,South Ambazari Road,,2,,"LINESTRING (79.058948 21.124867, 79.05871 21.124601, 79.058436 21.124218, 79.057871 21.123475, 79.057684 21.123222)",,,,,,21.124051,79.058307,Central
27118022,residential,False,False,131.679391,,,,,"LINESTRING (79.058948 21.124867, 79.059102 21.124734, 79.059226 21.12463, 79.059539 21.124436, 79.059956 21.12415)",,,,,,21.124499,79.059444,Central
27082729,secondary,True,False,8.344005,South Ambazari Road,,2,,"LINESTRING (79.056801 21.121951, 79.056754 21.12189)",,,,,,21.121921,79.056778,West
27117928,tertiary,True,False,77.947446,RPTS Rd,,,,"LINESTRING (79.056801 21.121951, 79.057289 21.121759, 79.057493 21.121678)",,,,,,21.121815,79.057147,West
761921513,residential,False,True,12.179837,,,,,"LINESTRING (79.055814 21.121065, 79.055817 21.121175)",,,,,,21.12112,79.055815,West
27082729,secondary,True,False,74.065917,South Ambazari Road,,2,,"LINESTRING (79.055814 21.121065, 79.055468 21.121082, 79.055101 21.121107)",,,,,,21.121085,79.055457,West
1185496576,residential,False,False,116.83041,Gopal Nagar Road,,,,"LINESTRING (79.055814 21.121065, 79.055803 21.120824, 79.055739 21.120423, 79.055728 21.120243, 79.055564 21.120079)",,,,,,21.120549,79.055746,West
27211250,tertiary,False,False,101.007364,Gayatri Nagar Road,,,,"LINESTRING (79.048205 21.121938, 79.04798 21.121054)",,,,,,21.121496,79.048092,West
762155545,tertiary,False,False,7.335071,,,,,"LINESTRING (79.048205 21.121938, 79.048222 21.122002)",,,,,,21.12197,79.048213,West
