osmid,highway,oneway,reversed,length,name,ref,lanes,bridge,geometry,access,maxspeed,junction,tunnel,width,Latitude,Longitude,Region
314126664,residential,False,True,124.92824374042372,,,,,"LINESTRING (79.071906 21.17337, 79.072541 21.173306, 79.073104 21.173253)",,,,,,21.173310316419776,79.07250490819719,Central
314126661,residential,False,False,13.232350285845689,,,,,"LINESTRING (79.0765 21.163307, 79.076521 21.163425)",,,,,,21.16336605000022,79.07651064999673,Central
992482899,residential,False,True,31.667248887977735,,,,,"LINESTRING (79.0765 21.163307, 79.076698 21.16309)",,,,,,21.163198950035124,79.07659885007308,Central
314126661,residential,False,True,34.51837349407486,,,,,"LINESTRING (79.0765 21.163307, 79.076371 21.163307, 79.076167 21.163317)",,,,,,21.163310465404308,79.07633354609082,Central
314126663,residential,False,False,25.64611022692663,,,,,"LINESTRING (79.075164 21.162902, 79.075255 21.162902, 79.075411 21.1629)",,,,,,21.162901401879427,79.07528735325947,Central
314126663,residential,False,True,33.95084392425343,,,,,"LINESTRING (79.075164 21.162902, 79.07489 21.1629, 79.074836 21.162901)",,,,,,21.162901034446588,79.07499999873394,Central
314126665,residential,False,False,127.57660274438706,,,,,"LINESTRING (79.075164 21.162902, 79.074879 21.163156, 79.07473 21.163367, 79.074612 21.163598, 79.074419 21.163801)",,,,,,21.16333964710866,79.0747757843798,Central
314126663,residential,False,False,12.409670368072895,,,,,"LINESTRING (79.075599 21.162897, 79.075717 21.162916)",,,,,,21.162906500010024,79.07565769999543,Central
314126663,residential,False,True,19.466024454751985,,,,,"LINESTRING (79.075599 21.162897, 79.075411 21.1629)",,,,,,21.16289855002612,79.0755048499986,Central
314128757,residential,False,False,42.80025313566833,,,,,"LINESTRING (79.075599 21.162897, 79.075679 21.162807, 79.075786 21.162782, 79.07592 21.162737, 79.075953 21.162727)",,,,,,21.16279485247869,79.07576271158244,Central
371865617,residential,False,True,44.84427665396335,,,,,"LINESTRING (79.071787 21.172512, 79.071846 21.172911)",,,,,,21.172711600001747,79.07181649997219,Central
314126658,residential,False,False,127.48559312237637,,,,,"LINESTRING (79.071787 21.172512, 79.072036 21.172471, 79.073011 21.172416)",,,,,,21.17245337529878,79.07239792330304,Central
314126658,residential,False,True,60.43678303067939,,,,,"LINESTRING (79.071787 21.172512, 79.071671 21.172597, 79.071579 21.172689, 79.07151 21.17278, 79.071403 21.172915)",,,,,,21.172702646648965,79.07158266860793,Central
314126665,residential,False,True,58.73517876108465,,,,,"LINESTRING (79.073886 21.16398, 79.074419 21.163801)",,,,,,21.16389025022283,79.07415235014406,Central
